Stratum label,Stratum area (sq. km),Transect label,Transect length (m),Perpendicular distance (cm),Dung-pile decay stage
High (= pen+neck),773,TRSC-WyMNG.6,1500,1370,C2
High (= pen+neck),773,TRSC-WyMNG.6,1500,354,C1
High (= pen+neck),773,TRSC-WyMNG.6,1500,260,D
High (= pen+neck),773,TRSC-WyMNG.6,1500,421,C2
High (= pen+neck),773,TRSC-WyMNG.6,1500,570,C1
High (= pen+neck),773,TRSC-WyMNG.6,1500,60,C1
High (= pen+neck),773,TRSC-WyMNG.6,1500,177,D
High (= pen+neck),773,TRSC-WyMNG.6,1500,37,D
High (= pen+neck),773,TRSC-WyMNG.6,1500,761,C1
High (= pen+neck),773,TRSC-WyMNG.6,1500,650,C1
High (= pen+neck),773,TRSC-WyMNG.6,1500,752,C1
High (= pen+neck),773,TRSC-WyMNG.6,1500,293,C1
High (= pen+neck),773,TRSC-WyMNG.6,1500,279,D
High (= pen+neck),773,TRSC-WyMNG.6,1500,443,B
High (= pen+neck),773,TRSTI-W.Kejadian-6,1500,85,D
High (= pen+neck),773,TRSTI-W.Kejadian-6,1500,60,C1
High (= pen+neck),773,TRSTI-W.Kejadian-6,1500,163,C1
High (= pen+neck),773,TRSTI-W.Kejadian-6,1500,606,C1
High (= pen+neck),773,TRSTI-W.Kejadian-6,1500,590,C1
High (= pen+neck),773,TRSTI-W.Kejadian-6,1500,260,C2
High (= pen+neck),773,TRSTI-W.Kejadian-6,1500,37,C1
High (= pen+neck),773,TRSTI-W.Kejadian-6,1500,104,C2
High (= pen+neck),773,TRSTI-W.Kejadian-6,1500,304,C2
High (= pen+neck),773,TRSTI-W.Kejadian-6,1500,395,C2
High (= pen+neck),773,TRSTI-W.Kejadian-6,1500,840,D
High (= pen+neck),773,TRSTI-W.Kejadian-6,1500,5,D
High (= pen+neck),773,TRSTI-W.Kejadian-6,1500,116,D
High (= pen+neck),773,TRST-W.Jadian-2,1000,20,C1
High (= pen+neck),773,TRST-W.Jadian-2,1000,228,C2
High (= pen+neck),773,TRST-W.Jadian-2,1000,890,C1
High (= pen+neck),773,TRST-W.Jadian-2,1000,820,C2
High (= pen+neck),773,TRST-W.Jadian-2,1000,77,C1
High (= pen+neck),773,TRST-W.Jadian-2,1000,58,C1
High (= pen+neck),773,TRST-W.Jadian-2,1000,134,C2
High (= pen+neck),773,TRST-W.Jadian-2,1000,50,C1
High (= pen+neck),773,TRST-W.Jadian-2,1000,86,C1
High (= pen+neck),773,TRST-W.Jadian-2,1000,148,C1
High (= pen+neck),773,TRST-W.Jadian-2,1000,260,C1
High (= pen+neck),773,TRST-W.Jadian-2,1000,100,C1
High (= pen+neck),773,TRST-W.Jadian-2,1000,510,C1
High (= pen+neck),773,TRST-W.Jadian-2,1000,351,C1
High (= pen+neck),773,TRST-W.Jadian-2,1000,352,C1
High (= pen+neck),773,TRST-W.Jadian-2,1000,213,C1
High (= pen+neck),773,TRST-W.Jadian-2,1000,244,C2
High (= pen+neck),773,TRST-W.Jadian-2,1000,460,C1
High (= pen+neck),773,TRST-W.Jadian-2,1000,160,C2
High (= pen+neck),773,TRST-W.Jadian-2,1000,110,C1
High (= pen+neck),773,TRST-W.Jadian-2,1000,110,C1
High (= pen+neck),773,TRST-W.Jadian-2,1000,128,C1
High (= pen+neck),773,TRST-W.Jadian-2,1000,212,C2
High (= pen+neck),773,TRST-W.Jadian-2,1000,7,C2
High (= pen+neck),773,TRST-W.Jadian-2,1000,703,D
High (= pen+neck),773,TRST-W.Jadian-2,1000,36,C1
High (= pen+neck),773,TRST-W.Jadian-2,1000,370,C1
High (= pen+neck),773,TRST-W.Jadian-2,1000,236,C1
High (= pen+neck),773,TRST-W.Jadian-2,1000,380,C2
High (= pen+neck),773,TRST-W.Jadian-2,1000,481,C1
High (= pen+neck),773,TRST-W.Jadian-2,1000,45,C1
High (= pen+neck),773,TRST-W.Jadian-2,1000,394,C1
High (= pen+neck),773,TRST-W.Jadian-2,1000,17,D
High (= pen+neck),773,TRST-W.Jadian-2,1000,66,C1
High (= pen+neck),773,TRST-W.Jadian-2,1000,304,C2
High (= pen+neck),773,TRST-W.Jadian-2,1000,15,D
High (= pen+neck),773,TRST-W.Jadian-2,1000,182,C1
High (= pen+neck),773,TRST-W.Jadian-2,1000,8,C1
High (= pen+neck),773,TRST-W.Jadian-2,1000,382,C2
High (= pen+neck),773,TRST-W.Jadian-2,1000,774,C1
High (= pen+neck),773,TRST-W.Jadian-2,1000,301,C1
High (= pen+neck),773,TRST-W.Jadian-2,1000,120,C2
High (= pen+neck),773,TRST-W.Jadian-2,1000,90,D
High (= pen+neck),773,TRST-W.Kejadian-1,1500,37,D
High (= pen+neck),773,TRST-W.Kejadian-1,1500,21,D
High (= pen+neck),773,TRST-W.Kejadian-1,1500,457,D
High (= pen+neck),773,TRST-W.Kejadian-1,1500,570,D
High (= pen+neck),773,TRST-W.Kejadian-1,1500,741,D
High (= pen+neck),773,TRST-W.Kejadian-1,1500,58,D
High (= pen+neck),773,TRST-W.Kejadian-1,1500,127,D
High (= pen+neck),773,TRST-W.Kejadian-1,1500,420,D
High (= pen+neck),773,TRST-W.Kejadian-1,1500,365,D
High (= pen+neck),773,TRST-W.Kejadian-1,1500,589,D
High (= pen+neck),773,TRST-W.Kejadian-1,1500,171,D
High (= pen+neck),773,TRST-W.Kejadian-1,1500,213,D
High (= pen+neck),773,TRST-W.Kejadian-1,1500,60,D
High (= pen+neck),773,TRST-W.Kejadian-1,1500,240,D
High (= pen+neck),773,TRST-W.Kejadian-1,1500,67,D
High (= pen+neck),773,TRST-W.Kejadian-1,1500,342,C1
High (= pen+neck),773,TRST-W.Kejadian-1,1500,223,C1
High (= pen+neck),773,TRST-W.Kejadian-1,1500,366,C1
High (= pen+neck),773,TRST-W.Kejadian-1,1500,138,C2
High (= pen+neck),773,TRST-W.Kejadian-1,1500,154,D
High (= pen+neck),773,TRST-W.Kejadian-1,1500,430,D
High (= pen+neck),773,TRST-W.Kejadian-1,1500,11,C2
High (= pen+neck),773,TRST-W.Kejadian-1,1500,165,C2
High (= pen+neck),773,TRST-W.Kejadian-1,1500,720,C2
High (= pen+neck),773,TRST-W.Kejadian-1,1500,574,C1
High (= pen+neck),773,TRST-W.Kejadian-1,1500,790,C1
High (= pen+neck),773,TRST-W.Kejadian-1,1500,840,C1
High (= pen+neck),773,TRST-W.Kejadian-1,1500,481,D
High (= pen+neck),773,TRST-W.Kejadian-1,1500,104,D
High (= pen+neck),773,TRST-W.Kejadian-1,1500,103,D
High (= pen+neck),773,TRST-W.Kejadian-1,1500,113,C2
High (= pen+neck),773,TRST-W.Kejadian-1,1500,16,C1
High (= pen+neck),773,TRST-W.Kejadian-1,1500,4,C1
High (= pen+neck),773,TRST-W.Kejadian-1,1500,60,C1
High (= pen+neck),773,TRST-W.Kejadian-1,1500,42,C1
High (= pen+neck),773,TRST-W.Kejadian-1,1500,228,C1
High (= pen+neck),773,TRST-W.Kejadian-1,1500,28,C1
High (= pen+neck),773,TRST-W.Kejadian-1,1500,142,C1
High (= pen+neck),773,TRST-W.Kejadian-1,1500,0,C1
High (= pen+neck),773,TRST-W.Kejadian-1,1500,110,C2
High (= pen+neck),773,TRST-W.Kejadian-1,1500,118,C2
High (= pen+neck),773,TRST-W.Kejadian-1,1500,16,C1
High (= pen+neck),773,TRST-W.Kejadian-1,1500,230,C1
High (= pen+neck),773,TRST-W.Kejadian-1,1500,96,C2
High (= pen+neck),773,TRST-W.Kejadian-1,1500,55,C1
High (= pen+neck),773,TRST-W.Kejadian-1,1500,750,C1
High (= pen+neck),773,TRST-W.Kejadian-1,1500,222,C1
High (= pen+neck),773,TRST-W.Kejadian-1,1500,10,D
High (= pen+neck),773,TRST-W.Kejadian-1,1500,92,C1
High (= pen+neck),773,TRST-W.Kejadian-1,1500,150,C2
High (= pen+neck),773,TRST-W.Kejadian-1,1500,223,D
High (= pen+neck),773,TRST-W.Kejadian-1,1500,173,C2
High (= pen+neck),773,TRST-W.Kejadian-1,1500,131,C1
High (= pen+neck),773,TRST-W.Kejadian-1,1500,746,C1
High (= pen+neck),773,TRST-W.Kejadian-3,1500,210,C2
High (= pen+neck),773,TRST-W.Kejadian-3,1500,45,C2
High (= pen+neck),773,TRST-W.Kejadian-3,1500,328,C2
High (= pen+neck),773,TRST-W.Kejadian-3,1500,101,C2
High (= pen+neck),773,TRST-W.Kejadian-3,1500,433,C1
High (= pen+neck),773,TRST-W.Kejadian-3,1500,86,D
High (= pen+neck),773,TRST-W.Kejadian-3,1500,85,D
High (= pen+neck),773,TRST-W.Kejadian-3,1500,30,C1
High (= pen+neck),773,TRST-W.Kejadian-3,1500,41,D
High (= pen+neck),773,TRST-W.Kejadian-3,1500,292,D
High (= pen+neck),773,TRST-W.Kejadian-3,1500,465,D
High (= pen+neck),773,TRST-W.Kejadian-3,1500,346,C1
High (= pen+neck),773,TRST-W.Kejadian-3,1500,32,D
High (= pen+neck),773,TRST-W.Kejadian-3,1500,690,C1
High (= pen+neck),773,TRST-W.Kejadian-3,1500,203,D
High (= pen+neck),773,TRST-W.Kejadian-3,1500,269,C2
High (= pen+neck),773,TRST-W.Kejadian-3,1500,386,C1
High (= pen+neck),773,TRST-W.Kejadian-3,1500,364,D
High (= pen+neck),773,TRST-W.Kejadian-3,1500,165,D
High (= pen+neck),773,TRST-W.Kejadian-3,1500,112,D
High (= pen+neck),773,TRST-W.Kejadian-3,1500,97,D
High (= pen+neck),773,TRST-W.Kejadian-3,1500,780,C2
High (= pen+neck),773,TRST-W.Kejadian-3,1500,35,D
High (= pen+neck),773,TRST-W.Kejadian-3,1500,430,C1
High (= pen+neck),773,TRST-W.Kejadian-3,1500,94,D
High (= pen+neck),773,TRST-W.Kejadian-3,1500,203,D
High (= pen+neck),773,TRST-W.Kejadian-3,1500,34,D
High (= pen+neck),773,TRST-W.Kejadian-3,1500,190,D
High (= pen+neck),773,TRST-W.Kejadian-3,1500,118,D
High (= pen+neck),773,TRST-W.Kejadian-3,1500,254,D
High (= pen+neck),773,TRST-W.Kejadian-3,1500,131,D
High (= pen+neck),773,TRST-W.Kejadian-3,1500,180,D
High (= pen+neck),773,TRST-W.Kejadian-3,1500,110,D
High (= pen+neck),773,TRST-W.Kejadian-3,1500,99,D
High (= pen+neck),773,TRST-W.Kejadian-3,1500,275,C1
High (= pen+neck),773,TRST-W.Kejadian-3,1500,380,C1
High (= pen+neck),773,TRST-W.Kejadian-3,1500,222,C1
High (= pen+neck),773,TRST-W.Kejadian-3,1500,117,C1
High (= pen+neck),773,TRST-W.Kejadian-3,1500,34,D
High (= pen+neck),773,TRST-W.Kejadian-3,1500,19,C1
High (= pen+neck),773,TRST-W.Kejadian-3,1500,270,C1
High (= pen+neck),773,TRST-W.Kejadian-3,1500,294,C2
High (= pen+neck),773,TRST-W.Kejadian-3,1500,340,C1
High (= pen+neck),773,TRST-W.Kejadian-3,1500,187,C1
High (= pen+neck),773,TRST-W.Kejadian-3,1500,234,C1
High (= pen+neck),773,TRST-W.Kejadian-3,1500,31,C1
High (= pen+neck),773,TRST-W.Kejadian-3,1500,134,C1
High (= pen+neck),773,TRST-W.Kejadian-3,1500,10,C2
High (= pen+neck),773,TRST-W.Kejadian-3,1500,65,D
High (= pen+neck),773,TRST-W.Kejadian-3,1500,62,C2
High (= pen+neck),773,TRST-W.Kejadian-3,1500,72,C2
High (= pen+neck),773,TRST-W.Kejadian-3,1500,150,C1
High (= pen+neck),773,TRST-W.Kejadian-3,1500,0,C2
High (= pen+neck),773,TRST-W.Kejadian-3,1500,17,D
High (= pen+neck),773,TRST-W.Kejadian-4,1500,126,C1
High (= pen+neck),773,TRST-W.Kejadian-4,1500,596,C1
High (= pen+neck),773,TRST-W.Kejadian-4,1500,643,C1
High (= pen+neck),773,TRST-W.Kejadian-4,1500,494,C1
High (= pen+neck),773,TRST-W.Kejadian-4,1500,267,C1
High (= pen+neck),773,TRST-W.Kejadian-4,1500,640,C1
High (= pen+neck),773,TRST-W.Kejadian-4,1500,713,C1
High (= pen+neck),773,TRST-W.Kejadian-4,1500,20,C1
High (= pen+neck),773,TRST-W.Kejadian-4,1500,115,C1
High (= pen+neck),773,TRST-W.Kejadian-4,1500,800,C1
High (= pen+neck),773,TRST-W.Kejadian-4,1500,306,C1
High (= pen+neck),773,TRST-W.Kejadian-4,1500,977,C1
High (= pen+neck),773,TRST-W.Kejadian-4,1500,900,C1
High (= pen+neck),773,TRST-W.Kejadian-4,1500,820,C1
High (= pen+neck),773,TRST-W.Kejadian-4,1500,675,C1
High (= pen+neck),773,TRST-W.Kejadian-4,1500,112,C2
High (= pen+neck),773,TRST-W.Kejadian-4,1500,360,C2
High (= pen+neck),773,TRST-W.Kejadian-4,1500,174,D
High (= pen+neck),773,TRST-W.Kejadian-4,1500,175,D
High (= pen+neck),773,TRST-W.Kejadian-4,1500,182,D
High (= pen+neck),773,TRST-W.Kejadian-4,1500,625,C1
High (= pen+neck),773,TRST-W.Kejadian-4,1500,44,D
High (= pen+neck),773,TRST-W.Kejadian-4,1500,129,D
High (= pen+neck),773,TRST-W.Kejadian-4,1500,87,C2
High (= pen+neck),773,TRST-W.Kejadian-4,1500,21,C1
High (= pen+neck),773,TRST-W.Kejadian-4,1500,188,C2
High (= pen+neck),773,TRST-W.Kejadian-4,1500,209,C1
High (= pen+neck),773,TRST-W.Kejadian-4,1500,120,D
High (= pen+neck),773,TRST-W.Kejadian-4,1500,55,C2
High (= pen+neck),773,TRST-W.Kejadian-4,1500,967,C1
High (= pen+neck),773,TRST-W.Kejadian-4,1500,556,C2
High (= pen+neck),773,TRST-W.Kejadian-4,1500,229,C2
High (= pen+neck),773,TRST-W.Kejadian-4,1500,133,D
High (= pen+neck),773,TRST-W.Kejadian-4,1500,0,C2
High (= pen+neck),773,TRST-W.Kejadian-4,1500,20,C2
High (= pen+neck),773,TRST-W.Kejadian-4,1500,135,C2
High (= pen+neck),773,TRST-W.Kejadian-4,1500,86,C1
High (= pen+neck),773,TRST-W.Kejadian-4,1500,625,C1
High (= pen+neck),773,TRST-W.Kejadian-4,1500,43,D
High (= pen+neck),773,TRST-W.Kejadian-4,1500,140,C2
High (= pen+neck),773,TRST-W.Kejadian-4,1500,330,C2
High (= pen+neck),773,TRST-W.Kejadian-4,1500,524,C1
High (= pen+neck),773,TRST-W.kejadian-5,1500,420,C1
High (= pen+neck),773,TRST-W.kejadian-5,1500,0,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,190,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,239,C2
High (= pen+neck),773,TRST-W.kejadian-5,1500,230,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,520,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,720,C2
High (= pen+neck),773,TRST-W.kejadian-5,1500,46,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,500,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,530,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,95,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,321,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,87,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,262,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,15,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,148,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,48,C1
High (= pen+neck),773,TRST-W.kejadian-5,1500,44,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,63,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,30,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,244,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,33,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,149,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,264,C1
High (= pen+neck),773,TRST-W.kejadian-5,1500,521,C1
High (= pen+neck),773,TRST-W.kejadian-5,1500,208,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,110,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,68,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,41,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,417,C1
High (= pen+neck),773,TRST-W.kejadian-5,1500,70,C1
High (= pen+neck),773,TRST-W.kejadian-5,1500,130,C1
High (= pen+neck),773,TRST-W.kejadian-5,1500,576,C1
High (= pen+neck),773,TRST-W.kejadian-5,1500,572,C1
High (= pen+neck),773,TRST-W.kejadian-5,1500,936,C1
High (= pen+neck),773,TRST-W.kejadian-5,1500,960,C1
High (= pen+neck),773,TRST-W.kejadian-5,1500,166,C1
High (= pen+neck),773,TRST-W.kejadian-5,1500,9,C1
High (= pen+neck),773,TRST-W.kejadian-5,1500,572,C2
High (= pen+neck),773,TRST-W.kejadian-5,1500,328,C1
High (= pen+neck),773,TRST-W.kejadian-5,1500,324,C1
High (= pen+neck),773,TRST-W.kejadian-5,1500,116,C1
High (= pen+neck),773,TRST-W.kejadian-5,1500,350,C1
High (= pen+neck),773,TRST-W.kejadian-5,1500,889,C1
High (= pen+neck),773,TRST-W.kejadian-5,1500,970,C1
High (= pen+neck),773,TRST-W.kejadian-5,1500,510,C1
High (= pen+neck),773,TRST-W.kejadian-5,1500,560,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,88,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,370,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,500,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,733,C1
High (= pen+neck),773,TRST-W.kejadian-5,1500,470,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,130,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,181,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,230,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,48,C1
High (= pen+neck),773,TRST-W.kejadian-5,1500,347,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,106,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,284,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,440,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,90,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,194,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,207,C1
High (= pen+neck),773,TRST-W.kejadian-5,1500,196,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,101,C1
High (= pen+neck),773,TRST-W.kejadian-5,1500,1020,C1
High (= pen+neck),773,TRST-W.kejadian-5,1500,489,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,240,C1
High (= pen+neck),773,TRST-W.kejadian-5,1500,375,D
High (= pen+neck),773,TRST-W.kejadian-5,1500,784,C1
High (= pen+neck),773,TRST-W.kejadian-5,1500,960,C2
High (= pen+neck),773,TRST-W.kejadian-5,1500,1350,C1
High (= pen+neck),773,TRST-W.kejadian-5,1500,427,C1
High (= pen+neck),773,TRST-W.kejadian-5,1500,840,C1
High (= pen+neck),773,TRST-W.kejadian-5,1500,455,C1
High (= pen+neck),773,TRST-W.kejadian-5,1500,52,C1
High (= pen+neck),773,TRST-W.kejadian-5,1500,94,C2
High (= pen+neck),773,TRST-W.kejadian-5,1500,182,C1
High (= pen+neck),773,TRST-W.kejadian-5,1500,515,C1
Low (= middle+north),1938,TRSC-SKlbt.1,1500,110,D
Low (= middle+north),1938,TRSC-SKlbt.2,1500,497,C2
Low (= middle+north),1938,TRSC-SKlbt.2,1500,174,D
Low (= middle+north),1938,TRSC-SKlbt.2,1500,643,D
Low (= middle+north),1938,TRSC-SKlbt.2,1500,386,D
Low (= middle+north),1938,TRSC-SKlbt.2,1500,127,D
Low (= middle+north),1938,TRSC-SKlbt.2,1500,100,D
Low (= middle+north),1938,TRSC-SKlbt.2,1500,390,D
Low (= middle+north),1938,TRSC-SKlbt.2,1500,277,D
Low (= middle+north),1938,TRSC-SKlbt.2,1500,135,D
Low (= middle+north),1938,TRSC-SKlbt.3,1500,124,D
Low (= middle+north),1938,TRSC-SKlbt.3,1500,213,D
Low (= middle+north),1938,TRSC-SKlbt.3,1500,31,D
Low (= middle+north),1938,TRSC-SKlbt.3,1500,24,D
Low (= middle+north),1938,TRSC-SKlbt.3,1500,548,D
Low (= middle+north),1938,TRSC-SKlbt.3,1500,140,D
Low (= middle+north),1938,TRSC-SKlbt.3,1500,76,D
Low (= middle+north),1938,TRSC-Wbam.1,1500,,
Low (= middle+north),1938,TRSC-Wbam.2,1500,267,C1
Low (= middle+north),1938,TRSC-Wbam.2,1500,1086,C2
Low (= middle+north),1938,TRSC-Wbam.2,1500,1116,C2
Low (= middle+north),1938,TRSC-Wbam.2,1500,23,D
Low (= middle+north),1938,TRSC-Wbam.3,1500,,
Low (= middle+north),1938,TRSC-Wbam.4,1000,,
Low (= middle+north),1938,TRSC-Wbam.5,1000,,
Low (= middle+north),1938,TRSC-LNAU.1,1500,,
Low (= middle+north),1938,TRSC-LNAU.2,1500,95,D
Low (= middle+north),1938,TRSC-LNAU.2,1500,96,C2
Low (= middle+north),1938,TRSC-LNAU.2,1500,221,C2
Low (= middle+north),1938,TRSC-LNAU.3,1000,235,D
Low (= middle+north),1938,TRSC-LNAU.3,1000,454,D
Low (= middle+north),1938,TRSC-LNAU.3,1000,303,D
Low (= middle+north),1938,TRSC-LNAU.3,1000,471,D
Low (= middle+north),1938,TRSC-LNAU.3,1000,68,D
Low (= middle+north),1938,TRSC-LNAU.3,1000,380,D
Low (= middle+north),1938,TRSC-LNAU.4,1000,,
Low (= middle+north),1938,TRST-TJI-1,1000,,
Low (= middle+north),1938,TRST-TJI-2,1500,,
Low (= middle+north),1938,TRST-TJI-3,1500,,
Low (= middle+north),1938,TRST-TJI-4,1000,,
Low (= middle+north),1938,TRST-TJI-5,1100,,
Low (= middle+north),1938,TRST-TJI-6,1100,,
